,geoid,name,total_population,poc_percent,female_pop_percent,poverty_level_percent,over_65_percent
30,14000US36005005002,"Census Tract 50.02, Bronx, NY",6393,94.54090411387455,50.94634756765212,38.99577663068982,7.914906929454091
31,14000US36005005100,"Census Tract 51, Bronx, NY",6087,84.83653688187941,60.30885493675045,53.55676030885493,13.619188434368326
32,14000US36005005200,"Census Tract 52, Bronx, NY",1833,88.9798145117294,61.10201854882706,41.62575013638843,13.36606655755592
33,14000US36005005300,"Census Tract 53, Bronx, NY",5472,94.09722222222223,52.24780701754386,55.2266081871345,5.208333333333333
34,14000US36005005400,"Census Tract 54, Bronx, NY",5638,97.16211422490245,51.702731465058534,26.995388435615467,11.138701667257893
35,14000US36005005600,"Census Tract 56, Bronx, NY",2168,91.83579335793358,55.71955719557196,31.964944649446494,20.433579335793358
36,14000US36005005902,"Census Tract 59.02, Bronx, NY",2730,82.52747252747253,52.234432234432234,16.117216117216117,18.534798534798536
37,14000US36005006000,"Census Tract 60, Bronx, NY",1295,75.83011583011583,55.44401544401544,33.204633204633204,17.52895752895753
38,14000US36005006100,"Census Tract 61, Bronx, NY",3955,89.58280657395701,61.99747155499368,11.65613147914033,20.632111251580277
39,14000US36005006200,"Census Tract 62, Bronx, NY",6710,90.9090909090909,55.18628912071535,37.27272727272727,13.427719821162444
40,14000US36005006301,"Census Tract 63.01, Bronx, NY",5521,75.09509146893679,47.12914327114653,29.07082050353197,7.353740264444847
41,14000US36005006302,"Census Tract 63.02, Bronx, NY",0,,,,
42,14000US36005006400,"Census Tract 64, Bronx, NY",4061,89.0174833784782,51.58827874907658,34.47426742181729,15.735040630386605
43,14000US36005006500,"Census Tract 65, Bronx, NY",5681,64.70691779616264,52.75479669072347,47.65006160887168,5.68561872909699
44,14000US36005006700,"Census Tract 67, Bronx, NY",6993,93.32189332189333,51.59445159445159,53.7966537966538,10.61061061061061
45,14000US36005006800,"Census Tract 68, Bronx, NY",2765,96.74502712477396,53.09222423146474,31.573236889692584,18.119349005424954
46,14000US36005006900,"Census Tract 69, Bronx, NY",7255,87.80151619572709,57.49138525155065,34.789800137835975,12.432804962095107
47,14000US36005007000,"Census Tract 70, Bronx, NY",4235,84.58087367178277,46.871310507674146,21.204250295159387,12.396694214876034
48,14000US36005007100,"Census Tract 71, Bronx, NY",2827,88.82207286876547,52.812168376370714,19.667492041032897,8.312698974177573
49,14000US36005007200,"Census Tract 72, Bronx, NY",6430,87.93157076205287,50.43545878693624,15.038880248833593,14.603421461897357
50,14000US36005007300,"Census Tract 73, Bronx, NY",4301,77.02859800046501,60.42780748663102,40.45570797488956,5.85910253429435
51,14000US36005007400,"Census Tract 74, Bronx, NY",3078,79.98700454840805,55.00324886289798,29.337231968810915,25.860948667966213
52,14000US36005007500,"Census Tract 75, Bronx, NY",6295,78.84034948371723,54.55123113582208,36.29864972200159,11.405877680698968
53,14000US36005007600,"Census Tract 76, Bronx, NY",5293,91.74381258265633,46.778764405819004,18.458341205365578,14.075193651993198
54,14000US36005007700,"Census Tract 77, Bronx, NY",2165,75.84295612009238,54.50346420323326,24.110854503464203,6.882217090069284
55,14000US36005007800,"Census Tract 78, Bronx, NY",6301,83.1931439454055,50.91255356292652,17.108395492778925,9.934930963339152
