geoid,name,B29001001,"B29001001, Error",B29001002,"B29001002, Error",B29001003,"B29001003, Error",B29001004,"B29001004, Error",B29001005,"B29001005, Error"
14000US36047053500,"Census Tract 535, Kings, NY",1709,344,575,228,497,179,440,160,197,106
14000US36047053700,"Census Tract 537, Kings, NY",1778,300,540,218,531,133,349,115,358,160
14000US36047053800,"Census Tract 538, Kings, NY",3005,415,355,175,911,272,901,254,838,254
14000US36047053900,"Census Tract 539, Kings, NY",1609,288,324,139,312,92,465,132,508,172
14000US36047054200,"Census Tract 542, Kings, NY",2598,396,530,182,390,100,732,155,946,244
14000US36047054300,"Census Tract 543, Kings, NY",0,13,0,13,0,13,0,13,0,13
14000US36047054400,"Census Tract 544, Kings, NY",2315,400,465,171,459,192,748,168,643,189
14000US36047054500,"Census Tract 545, Kings, NY",4341,627,1069,501,701,378,1176,478,1395,344
14000US36047054600,"Census Tract 546, Kings, NY",3212,522,195,78,809,247,1279,440,929,208
14000US36047054700,"Census Tract 547, Kings, NY",3581,461,1295,347,1168,221,902,252,216,102
14000US36047054800,"Census Tract 548, Kings, NY",1341,270,199,102,381,156,354,119,407,92
14000US36047054900,"Census Tract 549, Kings, NY",2786,322,992,221,1217,213,514,136,63,45
14000US36047055000,"Census Tract 550, Kings, NY",2003,302,351,106,533,143,549,140,570,194
14000US36047055100,"Census Tract 551, Kings, NY",3992,765,1027,310,1402,333,811,203,752,544
14000US36047055200,"Census Tract 552, Kings, NY",2428,479,251,100,606,191,754,317,817,231
14000US36047055300,"Census Tract 553, Kings, NY",2630,632,920,395,1077,287,399,95,234,83
14000US36047055400,"Census Tract 554, Kings, NY",2238,338,399,148,542,193,761,125,536,138
14000US36047055500,"Census Tract 555, Kings, NY",6260,614,1369,306,3504,460,1239,289,148,107
14000US36047055600,"Census Tract 556, Kings, NY",2404,411,490,215,568,154,824,217,522,167
14000US36047055700,"Census Tract 557, Kings, NY",1275,186,461,137,663,167,100,62,51,33
14000US36047055800,"Census Tract 558, Kings, NY",1578,240,350,102,340,88,413,88,475,150
14000US36047056000,"Census Tract 560, Kings, NY",2508,313,373,124,608,160,689,127,838,144
14000US36047056100,"Census Tract 561, Kings, NY",2853,384,926,342,1075,156,606,147,246,97
14000US36047056200,"Census Tract 562, Kings, NY",1283,232,213,93,331,66,398,76,341,98
14000US36047056301,"Census Tract 563.01, Kings, NY",3079,579,717,194,1457,519,550,153,355,102
14000US36047056302,"Census Tract 563.02, Kings, NY",1136,337,230,125,609,227,214,166,83,88
14000US36047056400,"Census Tract 564, Kings, NY",1931,241,227,44,569,164,513,91,622,145
14000US36047056500,"Census Tract 565, Kings, NY",2645,375,401,129,1280,284,528,214,436,128
14000US36047056600,"Census Tract 566, Kings, NY",1958,467,285,115,277,72,941,428,455,101
14000US36047056800,"Census Tract 568, Kings, NY",1100,175,140,63,180,90,447,119,333,118
14000US36047056900,"Census Tract 569, Kings, NY",1388,184,257,101,720,138,200,60,211,86
14000US36047057000,"Census Tract 570, Kings, NY",2960,430,216,80,657,265,858,136,1229,334
14000US36047057100,"Census Tract 571, Kings, NY",3143,485,723,264,1487,419,596,148,337,132
14000US36047057200,"Census Tract 572, Kings, NY",3506,548,1088,351,599,206,950,258,869,307
14000US36047057300,"Census Tract 573, Kings, NY",1937,243,619,188,756,194,310,173,252,115
14000US36047057400,"Census Tract 574, Kings, NY",2000,276,327,100,404,124,623,144,646,158
14000US36047057500,"Census Tract 575, Kings, NY",3534,495,624,280,1621,470,805,303,484,175
14000US36047057600,"Census Tract 576, Kings, NY",1938,322,303,83,416,133,755,166,464,122
14000US36047057800,"Census Tract 578, Kings, NY",2041,350,483,196,447,223,580,143,531,166
14000US36047057901,"Census Tract 579.01, Kings, NY",979,266,278,120,419,144,165,114,117,76
14000US36047057902,"Census Tract 579.02, Kings, NY",0,13,0,13,0,13,0,13,0,13
14000US36047058000,"Census Tract 580, Kings, NY",2494,628,698,318,647,372,626,214,523,162
14000US36047058200,"Census Tract 582, Kings, NY",1225,258,209,99,213,105,545,138,258,102
14000US36047058400,"Census Tract 584, Kings, NY",2439,359,384,168,613,224,960,187,482,150
14000US36047058600,"Census Tract 586, Kings, NY",1788,313,402,212,476,119,458,117,452,124
14000US36047058800,"Census Tract 588, Kings, NY",2698,365,290,100,675,206,921,216,812,241
14000US36047058901,"Census Tract 589.01, Kings, NY",1427,190,258,85,544,117,366,112,259,76
